id,name,level,country,profitableEffiieny,annualRevenue,employees,city,founded_year
751,"Rivera, ampos and Taylor",4,Japan,217.3560976,44558,205,Kyoto,2011
752,"Ramsey, Mason and Mann",4,anada,132.4712644,34575,261,Halifax,2022
753,Davis and Sons,4,Germany,219.6428571,55350,252,Stuttgart,2000
754,Peterson PL,4,China,81.36554622,38730,476,hengdu,2013
755,"Sanders, Ayala and Johnson",4,China,740.2467532,56999,77,Shanghai,2023
756,Bowers-Hayes,4,India,192.2394958,45753,238,hennai,2010
757,Kelly Group,4,Japan,267.3770492,48930,183,Kawasaki,2015
758,Lopez-Willis,4,anada,174.8877005,65408,374,Montreal,2014
759,Miller-Montgomery,4,anada,281.3481013,44453,158,Edmonton,2002
760,Marquez In,4,USA,221.9612756,97441,439,Los Angeles,2000
761,Moore-Dawson,4,India,104.9855072,43464,414,Delhi,2021
762,"Moore, Prie and Ward",4,Germany,608.7553191,57223,94,Frankfurt,2016
763,Smith LL,4,Germany,99.40807175,22168,223,Stuttgart,2017
764,Ward-Nelson,4,anada,163.9633028,53616,327,algary,2012
765,Miller Group,4,Germany,189.0439883,64464,341,Hamburg,2020
766,Hawkins-Hunt,4,Frane,147.6151832,56389,382,Strasbourg,2000
767,Johnson LL,4,Japan,176.3080357,39493,224,Kyoto,2018
768,"Davis, George and Nguyen",4,Frane,651.4122807,74261,114,Paris,2022
769,Smith-Gutierrez,4,Japan,133.7112172,56025,419,Sapporo,2022
770,Hardy PL,4,China,174.0990338,72077,414,Hangzhou,2003
771,Armstrong and Sons,4,Germany,668.7428571,70218,105,Stuttgart,2010
772,"James, Taylor and Turner",4,anada,217.683908,75754,348,Montreal,2008
773,Thomas-Jakson,4,anada,469.9757576,77546,165,Hamilton,2020
774,Fisher-Washington,4,Frane,167.5213115,51094,305,Lille,2012
775,Ward and Sons,4,China,231.1327231,101005,437,hongqing,2011
776,"Weber, Wheeler and Gonzalez",4,anada,165.5938242,69715,421,Halifax,2005
777,Taylor In,4,UK,741.8541667,35609,48,ardiff,2018
778,ook-Oliver,4,Germany,287.8346457,36555,127,Stuttgart,2003
779,Alexander-Jordan,4,UK,191.255102,37486,196,Manhester,2005
780,"Mann, Taylor and Flores",4,Germany,315.1506849,69018,219,Essen,2012
781,"Harris, Edwards and Oonnell",4,Germany,154.5837104,34163,221,Leipzig,2012
782,arter-Neal,4,Germany,206.825,57911,280,Dortmund,2020
783,Faulkner-asey,4,Germany,180.7686275,46096,255,Essen,2005
784,Bennett-Velasquez,4,UK,385.560241,64003,166,Birmingham,2005
785,Diaz-Frederik,4,anada,286.5758929,128386,448,Halifax,2001
786,Vargas PL,4,India,660.7702703,48897,74,Mumbai,2015
787,Maldonado PL,4,Japan,131.2623574,34522,263,Kobe,2017
788,Benton Group,4,anada,329.765625,84420,256,Winnipeg,2021
789,"lark, Salinas and Guerra",4,Frane,888.3111111,79948,90,Montpellier,2015
790,Fuentes Group,4,China,99.88834951,41154,412,Hangzhou,2000
791,"Porter, Shultz and Allen",4,Japan,278.4068966,40369,145,Sapporo,2001
792,"Moore, Henderson and Bennett",4,Japan,679.5274725,61837,91,Kawasaki,2009
793,Ewing-Mendoza,4,anada,273.46,109384,400,Halifax,2023
794,Ferguson-Mlean,4,anada,873,54126,62,Hamilton,2016
795,"Barnes, Johnson and Shmitt",4,China,187.1314554,79718,426,hengdu,2017
796,"Woodard, Herrera and Little",4,India,343.5609137,135363,394,Surat,2001
797,Rodriguez and Sons,4,anada,181.5765766,40310,222,Hamilton,2006
798,"Ortega, Jakson and Salazar",4,China,420.9646018,190276,452,Shenzhen,2009
799,"Terrell, Byrd and Ross",4,USA,280.8032787,51387,183,San Diego,2008
800,Sheppard-Jordan,4,China,100.0373134,40215,402,Wuhan,2003
801,Garia and Sons,4,Japan,121.4183007,37154,306,Nagoya,2023
802,"Burgess, Grant and Watts",4,India,506.71875,113505,224,Jaipur,2020
803,Griffin Group,4,Germany,225.9187192,91723,406,Leipzig,2004
804,Barton-hapman,4,Japan,268.6554054,79522,296,Nagoya,2001
805,"Hernandez, uevas and Webb",4,India,275.9354839,85540,310,Surat,2008
806,Perry-Nixon,4,Germany,280.7532468,43236,154,Stuttgart,2022
807,Guerra Ltd,4,UK,69.91869919,34400,492,ardiff,2008
808,Bailey LL,4,China,144.5978947,68684,475,Guangzhou,2013
809,Mueller-Boyd,4,USA,990.6956522,68358,69,Phoenix,2020
810,Alvarez-Kim,4,Germany,125.8780488,46449,369,Frankfurt,2004
811,"havez, Jones and Williams",4,India,296.3883495,61056,206,Hyderabad,2021
812,"Wilson, Sweeney and Wong",4,anada,150.3658537,49320,328,Vanouver,2018
813,"Marsh, Spears and Yang",4,UK,271.1440678,63990,236,Sheffield,2012
814,"Thompson, Moore and astro",4,China,207.6865672,55660,268,Shanghai,2012
815,Hall-Sullivan,4,UK,111.0773931,54539,491,Leeds,2014
816,Lopez Ltd,4,anada,5217.833333,31307,6,Edmonton,2018
817,Foster-Mlaughlin,4,China,310.2782609,107046,345,Wuhan,2020
818,ole Group,4,India,198.3221154,41251,208,Delhi,2017
819,Smith-Lewis,4,Japan,255.0697674,65808,258,Kobe,2006
820,Goodwin-Stokes,4,UK,488.960452,86546,177,Leeds,2009
821,Ray PL,4,Germany,126.752451,51715,408,Leipzig,2015
822,Diaz and Sons,4,India,322.0181818,17711,55,Mumbai,2001
823,Wilson-Lambert,4,anada,53.31458333,25591,480,Toronto,2003
824,Rose-Fowler,4,Germany,10431.2,52156,5,Dortmund,2014
825,"Prie, Long and Wilson",4,Frane,140,65800,470,Toulouse,2022
826,Brue-Williamson,4,Germany,92.66814159,41886,452,ologne,2005
827,"Marthy, Evans and Mendez",4,UK,111.8624339,21142,189,Manhester,2020
828,Powers LL,4,UK,124.4811594,42946,345,Manhester,2011
829,Allen In,4,Germany,149.6184615,48626,325,Berlin,2012
830,Brooks and Sons,4,UK,238.3058824,81024,340,Liverpool,2013
831,"Prie, arlson and Andrews",4,China,501.4210526,57162,114,Shanghai,2000
832,Lopez-Reid,4,anada,183.4577922,56505,308,Montreal,2004
833,"Ellison, Arias and Thompson",4,Japan,137.7025862,31947,232,Kawasaki,2021
834,Burns and Sons,4,USA,285.6944444,51425,180,New York,2022
835,Edwards Group,4,China,1790.097222,128887,72,Tianjin,2022
836,"Brown, Howard and Smith",4,anada,203.7860697,40961,201,Montreal,2007
837,Lee Group,4,China,309.1393939,51008,165,Shanghai,2003
838,"Wagner, Simpson and ohen",4,India,426.6,85320,200,hennai,2004
839,Mkinney-Wallae,4,Germany,357.0615942,98549,276,Hamburg,2002
840,Miller In,4,USA,446.247191,39716,89,San Jose,2020
841,arter LL,4,anada,281.3684211,32076,114,Edmonton,2023
842,Medina and Sons,4,Germany,119.3061798,42473,356,D眉sseldorf,2019
843,unningham-Barton,4,anada,157.0646552,72878,464,algary,2002
844,Dunn-Wilson,4,China,155.6437908,47627,306,Guangzhou,2003
845,Adams PL,4,Frane,324.2590361,53827,166,Nantes,2013
846,Weaver-Sherman,4,Germany,91.3761194,30611,335,Frankfurt,2008
847,"Alexander, Robinson and oleman",4,China,344.125,107367,312,Shenzhen,2017
848,"Greer, Potter and Evans",4,UK,241.6467991,109466,453,London,2021
849,ole LL,4,UK,104.2095238,32826,315,Liverpool,2016
850,Gonzales In,4,Japan,110.0835821,36878,335,Kobe,2009
851,lark Ltd,4,USA,346.5346535,70000,202,Houston,2015
852,"Norris, allahan and Bishop",4,China,122.7583082,40633,331,Shenzhen,2015
853,Martin-Taylor,4,China,185.7407407,35105,189,Nanjing,2000
854,Li In,4,India,145.9842697,64963,445,Bangalore,2012
855,"Bell, ampbell and Ryan",4,Frane,190.0310734,67271,354,Nantes,2017
856,Werner-arter,4,Germany,4112.846154,53467,13,Dortmund,2002
857,"Adams, Hodge and Duke",4,China,398.7217391,45853,115,Beijing,2008
858,"Ohoa, Taylor and Brady",4,USA,194.4962121,51347,264,New York,2012
859,Sellers-Riddle,4,UK,99.07239819,21895,221,Bristol,2013
860,"Martinez, line and Wright",4,Frane,151.6057348,42298,279,Marseille,2020
861,"Morris, Wright and Bridges",4,Germany,917.7852761,149599,163,ologne,2002
862,Burns-Ray,4,China,65.77033493,27492,418,Nanjing,2006
863,Burton-Brooks,4,Germany,187.0536585,38346,205,Essen,2010
864,Shultz In,4,China,368.1052632,83928,228,hengdu,2022
865,Robertson-Ramirez,4,Japan,876.0612245,42927,49,Tokyo,2007
866,Gibson-Freeman,4,Frane,170.4245283,54195,318,Marseille,2014
867,"Smith, Shroeder and Oonnor",4,USA,292.421875,112290,384,Phoenix,2021
868,"Stanton, Reid and Terry",4,Germany,221.1144414,81149,367,Munih,2000
869,Flynn Group,4,Germany,115.96139,30034,259,Berlin,2005
870,Donaldson and Sons,4,India,80.97777778,32796,405,Surat,2016
871,Adams-layton,4,UK,973.4202899,67166,69,Birmingham,2011
872,Kelley-Anderson,4,UK,190.875,33594,176,Manhester,2000
873,Kramer-Shannon,4,Frane,2248.891892,83209,37,Nie,2016
874,Williams Ltd,4,UK,709.1818182,31204,44,ardiff,2020
875,Smith-Noble,4,anada,148.5873016,28083,189,Quebe ity,2016
876,Alexander In,4,USA,772.1555556,69494,90,San Diego,2018
877,Harris-Barker,4,India,274.6575,109863,400,Bangalore,2008
878,Khan LL,4,China,126.528,47448,375,Hangzhou,2021
879,Baxter LL,4,China,107.0981132,28381,265,Shenzhen,2023
880,Pena LL,4,USA,489.9615385,63695,130,New York,2000
881,Watson Ltd,4,USA,169.3681592,34043,201,San Diego,2011
882,Williams Ltd,4,Germany,147.0520833,42351,288,Hamburg,2001
883,Barber-Fisher,4,Frane,755.6590909,99747,132,Toulouse,2010
884,Rios-Padilla,4,Frane,148.0117096,63201,427,Nantes,2008
885,Lewis In,4,China,807.9848485,53327,66,Hangzhou,2011
886,Wheeler PL,4,USA,67.23798077,27971,416,hiago,2007
887,"Wallae, Smith and ooper",4,USA,57.50881057,26109,454,San Antonio,2002
888,Mneil Group,4,anada,359.0930233,61764,172,Ottawa,2009
889,"Anderson, Jones and Reyes",4,China,10033.55556,90302,9,Nanjing,2014
890,"Shaffer, Garia and Rihardson",4,India,173.4948805,50834,293,Hyderabad,2009
891,Taylor-Ayala,4,UK,177.1115702,42861,242,ardiff,2007
892,May Ltd,4,India,152.89,61156,400,Jaipur,2015
893,Jones PL,4,Japan,1403.402439,115079,82,Kawasaki,2007
894,Bishop and Sons,4,USA,1009.580645,125188,124,San Antonio,2000
895,Bell-Lewis,4,India,3029,15145,5,Mumbai,2010
896,"Hernandez, Jenkins and Parks",4,Frane,637.1454545,70086,110,Nie,2003
897,Miller In,4,Japan,210.2977867,104518,497,Kobe,2015
898,Goodwin PL,4,USA,895.7905405,132577,148,hiago,2022
899,"ruz, Rihmond and Edwards",4,China,81.02586207,37596,464,Beijing,2007
900,Wright Ltd,4,Frane,136.6950904,52901,387,Nantes,2014
901,Wright PL,4,China,111.3574144,29287,263,Hangzhou,2003
902,"Griffith, Mithell and Pugh",4,Germany,216.5584416,66700,308,D眉sseldorf,2002
903,Abbott Ltd,4,USA,168.5582329,83942,498,San Antonio,2021
904,Harris-Lawson,4,Germany,299.3043478,41304,138,Frankfurt,2009
905,Adkins LL,4,India,224.6651163,96606,430,Ahmedabad,2022
906,"Brown, Hurst and Blevins",4,India,842.9236111,121381,144,Kolkata,2014
907,ruz-Allen,4,Japan,761.2837838,56335,74,Osaka,2006
908,"Wheeler, Rie and Levine",4,China,993.247191,88399,89,Guangzhou,2003
909,Pek-Anderson,4,anada,246.8309859,52575,213,Quebe ity,2010
910,"Fisher, Payne and Thompson",4,China,156.3293173,77852,498,Nanjing,2011
911,Best-Townsend,4,Japan,225.2933884,54521,242,Kyoto,2009
912,Matthews In,4,UK,862.8588235,73343,85,Manhester,2002
913,Lewis-Livingston,4,UK,922.4086957,106077,115,ardiff,2001
914,Hunter-Fuller,4,India,160.3658537,59175,369,Bangalore,2002
915,"Wang, Henderson and Morales",4,Japan,202.0224719,53940,267,Fukuoka,2012
916,"Herrera, Jensen and Ramirez",4,USA,149.8301887,63528,424,Phoenix,2008
917,Miller-Mall,4,Germany,190.2104072,84073,442,Berlin,2012
918,Herrera Group,4,anada,78.54895105,22465,286,Hamilton,2023
919,"Walters, Davenport and Beker",4,Japan,620.5263158,35370,57,Osaka,2014
920,ollins Group,4,Germany,986.0277778,35497,36,Munih,2000
921,"Ashley, Allen and Sanhez",4,Japan,96.91549296,41286,426,Yokohama,2006
922,Wilson-Salazar,4,Frane,620.706422,202971,327,Nantes,2021
923,Parker Ltd,4,China,796.5547445,109128,137,Hangzhou,2018
924,"Yang, Wilson and Zimmerman",4,China,785.6792453,83282,106,Beijing,2002
925,"Smith, rawford and Reed",4,anada,221.0149573,103435,468,Vanouver,2002
926,"Logan, Le and Jakson",4,India,68.50308008,33361,487,Delhi,2001
927,Brady LL,4,anada,70.79707113,33841,478,Toronto,2005
928,"Tanner, Wise and Johnson",4,Frane,1966.7,39334,20,Strasbourg,2015
929,Nelson-Brown,4,Frane,203.5645161,37863,186,Strasbourg,2005
930,"Protor, Burton and rawford",4,Japan,814.5337838,120551,148,Yokohama,2008
931,"Ward, Porter and Bradley",4,anada,535.5485893,170840,319,Vanouver,2001
932,Moore-Ayala,4,Japan,323.3348837,69517,215,Sapporo,2015
933,"raig, Wilson and Yang",4,anada,388.5,57498,148,Toronto,2002
934,Williams In,4,Frane,717.5607477,76779,107,Lyon,2013
935,Williams LL,4,Japan,321.86,64372,200,Kawasaki,2000
936,Mora-White,4,India,116.2518519,47082,405,Pune,2017
937,Tran Ltd,4,anada,224.519084,58824,262,Edmonton,2018
938,"Rios, Walker and Wright",4,India,566.4742268,54948,97,Ahmedabad,2008
939,"Flores, Mkenzie and Dunan",4,USA,230.6666667,26988,117,Philadelphia,2019
940,Shaw In,4,USA,105.1837709,44072,419,Phoenix,2001
941,Walker PL,4,anada,134.1133501,53243,397,Hamilton,2011
942,Finley In,4,Japan,471.8473282,61812,131,Yokohama,2003
943,line-Ayala,4,Japan,90.60663507,38236,422,Sapporo,2017
944,Murphy-Tran,4,USA,128.303653,56197,438,Houston,2018
945,Wood LL,4,Frane,1214.284211,115357,95,Nantes,2005
946,"Mueller, Stevenson and Sanhez",4,Japan,305.2757794,127300,417,Saitama,2010
947,Vargas-Snyder,4,India,217.2273973,79288,365,Jaipur,2000
948,Oonnor PL,4,India,600.2727273,46221,77,Jaipur,2018
949,Hernandez Group,4,Japan,253.2638037,41282,163,Kyoto,2017
950,Hall LL,4,Germany,2361.568627,120440,51,Dortmund,2001
951,"Frano, Wiley and Tapia",4,USA,711.8461538,83286,117,Houston,2019
952,Blake Group,4,USA,14841,74205,5,Dallas,2015
953,"Aosta, Garia and Moreno",4,India,251.8057554,105003,417,Jaipur,2006
954,Barnes In,4,Germany,324.1368421,30793,95,Stuttgart,2022
955,Dawson In,4,India,616.625,49330,80,Mumbai,2000
956,Morse PL,4,Germany,72.4247191,32229,445,Munih,2016
957,Haynes-Watson,4,India,408.2054795,148995,365,Delhi,2011
958,"Miller, Davis and Anderson",4,Frane,737.2768362,130498,177,Lille,2003
959,Jones-Bradley,4,UK,865.5882353,73575,85,Leeds,2004
960,Bates-Anderson,4,Frane,232.7964072,38877,167,Montpellier,2020
961,Green-Edwards,4,Germany,153.3391304,70536,460,Essen,2022
962,Haynes-Moss,4,India,165.4379085,50624,306,Hyderabad,2021
963,havez-Hall,4,Germany,158.1078947,60081,380,D眉sseldorf,2009
964,Taylor PL,4,UK,183.968254,69540,378,Birmingham,2005
965,Moore and Sons,4,USA,126.1681818,55514,440,San Jose,2012
966,Owens-Russell,4,USA,487.3053892,81380,167,hiago,2019
967,"Howard, Townsend and Hayes",4,Japan,171.8285124,83165,484,Saitama,2003
968,Baker-Wilson,4,anada,156.4663212,60396,386,Vanouver,2010
969,Aguirre LL,4,China,564.3035714,94803,168,Shenzhen,2011
970,"Terry, Williams and Huff",4,Germany,245.3678161,85388,348,Munih,2022
971,Hernandez-Dawson,4,India,518.9571429,72654,140,Pune,2000
972,Foster-Williams,4,Japan,652.5128205,25448,39,Nagoya,2022
973,Green-Ewing,4,India,288.1420912,107477,373,hennai,2003
974,rane Group,4,USA,502.9170306,115168,229,New York,2012
975,"Adkins, Wright and Murray",4,Frane,146.8832685,37749,257,Lyon,2013
976,Martinez In,4,Frane,284.4771574,56042,197,Nantes,2017
977,Anderson Group,4,China,227.3698225,76851,338,Wuhan,2018
978,Parks-Pae,4,Japan,543.7619048,22838,42,Yokohama,2014
979,Aguilar LL,4,USA,308.9404762,51902,168,Phoenix,2000
980,Johnson In,4,UK,227.2833333,40911,180,Manhester,2002
981,Orr Group,4,Germany,104.0580475,39438,379,D眉sseldorf,2005
982,Davis LL,4,China,437.7808989,77925,178,Nanjing,2002
983,Williams Group,4,anada,48.03901437,23395,487,Toronto,2013
984,Jakson PL,4,Germany,1274.047059,108294,85,Leipzig,2013
985,Underwood-Foster,4,USA,602.2909091,66252,110,Los Angeles,2010
986,Reyes Group,4,Japan,495.8125,142794,288,Kobe,2022
987,Gomez and Sons,4,UK,521.0396825,65651,126,Glasgow,2009
988,Ramirez-Stephenson,4,China,170.6228956,50675,297,Beijing,2012
989,Mendez PL,4,anada,624.7619048,118080,189,Vanouver,2001
990,Holland Group,4,USA,232.3677419,36017,155,San Antonio,2002
991,Andrade-Mendoza,4,anada,1662.722222,29929,18,algary,2003
992,Ramirez and Sons,4,Japan,449.2922078,69191,154,Yokohama,2020
993,Gonzalez-Wilkerson,4,China,296.1358025,47974,162,Wuhan,2003
994,"Wright, Mknight and Stephens",4,Frane,79.89416847,36991,463,Montpellier,2015
995,Mayo Ltd,4,UK,209.1484099,59189,283,Manhester,2020
996,astillo-Harrington,4,Frane,230.2423581,105451,458,Lyon,2011
997,Durham-Shaw,4,Frane,118.1759657,27535,233,Nantes,2005
998,Nelson-Johnson,4,USA,408.3950617,99240,243,Phoenix,2014
999,"Robinson, Huang and Osborne",4,UK,212.1399317,62157,293,Liverpool,2008
1000,Stokes Group,4,USA,489.4855491,169362,346,hiago,2022
1001,"Howard, Silva and Hall",4,China,122.0883978,22098,181,Shanghai,2021
1002,Garia Ltd,4,Frane,194.6076389,56047,288,Lille,2007
1003,Adams Ltd,4,USA,558.3789954,122285,219,San Antonio,2016
1004,Gallagher and Sons,4,anada,465.5766129,115463,248,Halifax,2007
1005,"Bradford, Salinas and Kelly",4,UK,218.9571734,102253,467,Manhester,2012
1006,Thompson PL,4,USA,170.3862661,79400,466,Dallas,2018
1007,Drake-Wolfe,4,Germany,308.655914,28705,93,Munih,2014
1008,"Johnson, Haynes and Meza",4,Germany,1151.550725,79457,69,Frankfurt,2006
1009,"Thomas, Vaughan and opeland",4,USA,190.5084746,67440,354,San Antonio,2002
1010,Weaver-Thompson,4,Frane,2582.6,206608,80,Toulouse,2020
1011,Davis and Sons,4,UK,75.58985201,35754,473,Leeds,2023
1012,"Robinson, Fox and Smith",4,China,98.95847751,28599,289,Shanghai,2012
1013,"Harris, Anderson and Love",4,Frane,92.81038375,41115,443,Bordeaux,2010
1014,Brown-Hernandez,4,UK,208.9261603,99031,474,Bristol,2014
1015,"Stark, Shroeder and Mathis",4,USA,380.2205882,103420,272,San Jose,2018
1016,Yu-Brooks,4,Frane,684.037037,55407,81,Marseille,2013
1017,"Foster, Garia and Turner",4,Germany,75.14191419,22768,303,Leipzig,2018
1018,Daugherty Ltd,4,China,94.65594059,38241,404,Shanghai,2018
1019,onner-Yu,4,China,208.2681319,94762,455,hengdu,2017
1020,"Stewart, Mann and Hoffman",4,India,420.9552239,84612,201,Ahmedabad,2008
1021,"Buhanan, Walker and hapman",4,anada,357.465587,88294,247,Halifax,2019
1022,Gray Ltd,4,USA,236.8436019,49974,211,hiago,2008
1023,"Phillips, Thompson and Smith",4,Germany,178.4787535,63003,353,Leipzig,2019
1024,"Fry, Myers and Gamble",4,Frane,102.9978261,47379,460,Paris,2012
1025,"Johnson, Guzman and Mall",4,India,234.4300518,90490,386,Hyderabad,2001
1026,"Walker, unningham and Zuniga",4,anada,1884.733333,28271,15,Ottawa,2011
1027,Rivera In,4,India,289.3513514,42824,148,hennai,2009
1028,Reed LL,4,anada,912.4383562,66608,73,Montreal,2007
1029,Fields In,4,UK,449.0422535,63764,142,Edinburgh,2010
1030,"Santiago, Daniel and Rogers",4,Frane,705.92,35296,50,Lille,2020
1031,Baker and Sons,4,Japan,73.27966102,34588,472,Kyoto,2006
1032,"Jones, Sott and Rodriguez",4,Frane,514.0489978,230808,449,Montpellier,2016
1033,Williams Group,4,India,94.21707317,38629,410,Mumbai,2016
1034,"Barnes, Jakson and Gutierrez",4,Germany,131.0679348,48233,368,Munih,2009
1035,Bell-Bennett,4,Frane,125.1758242,56955,455,Lyon,2016
1036,Kramer-Lane,4,USA,58.54746137,26522,453,hiago,2006
1037,"Perez, Hayes and Lloyd",4,Japan,4525,95025,21,Tokyo,2007
1038,Phillips LL,4,anada,151.0657534,55139,365,Toronto,2011
1039,Lynn-Jones,4,Japan,70.66666667,30104,426,Sapporo,2011
1040,Barron and Sons,4,anada,108.4727273,35796,330,Hamilton,2012
1041,"Jones, Mmahon and Spene",4,China,123.1897436,24022,195,Beijing,2007
1042,Wheeler-Austin,4,anada,1009.273684,95881,95,Halifax,2014
1043,Bush-Reynolds,4,anada,289.5597826,53279,184,Halifax,2017
1044,"Martin, Preston and Moore",4,India,314.9252577,122191,388,Bangalore,2008
1045,Rivera and Sons,4,China,616.5148515,124536,202,hengdu,2000
1046,Terry-Bowen,4,USA,71.37623762,28836,404,hiago,2018
1047,"Fernandez, Guerrero and Evans",4,Japan,701.5833333,84190,120,Nagoya,2020
1048,Williams PL,4,Japan,302.6495327,64767,214,Sapporo,2020
1049,"Larsen, Hernandez and Ward",4,USA,34.12951168,16075,471,New York,2015
1050,Miller-olon,4,Germany,100.5445783,41726,415,Hamburg,2019
1051,"Greene, Gonzalez and Johnson",4,USA,260.4936709,82316,316,Houston,2008
1052,Little In,4,UK,147.9179266,68486,463,Glasgow,2013
1053,Anthony-Parker,4,Frane,624.1865672,83641,134,Nantes,2014
1054,Ruiz-Jaobson,4,Japan,248.0598291,87069,351,Kyoto,2009
1055,Davis-Stephens,4,Frane,9688.875,77511,8,Lille,2003
1056,Watson Group,4,India,201.9546926,62404,309,Surat,2020
1057,Lopez-Williams,4,UK,1476.383333,88583,60,Glasgow,2021
1058,Marshall-Perez,4,anada,1622.431507,236875,146,Montreal,2010
1059,Elliott-Hernandez,4,India,91.37352941,31067,340,hennai,2008
1060,"ontreras, Miller and ooper",4,UK,343.063197,92284,269,Liverpool,2004
1061,"Gutierrez, Avila and Perez",4,Japan,269.1421801,56789,211,Tokyo,2019
1062,Randall PL,4,India,2233.666667,40206,18,Bangalore,2023
1063,Sheppard-Mdaniel,4,anada,280.3624733,131490,469,Ottawa,2008
1064,Armstrong-Young,4,Frane,131.7591623,50332,382,Strasbourg,2012
1065,Miller-Orr,4,USA,110.4646465,32808,297,San Jose,2022
1066,"Johnson, Dunan and Blak",4,Japan,105.227027,38934,370,Fukuoka,2023
1067,"Byrd, Oliver and Martinez",4,Japan,217.1871921,88178,406,Kawasaki,2020
1068,Thompson-Joye,4,anada,260.0189873,41083,158,Edmonton,2016
1069,Stokes and Sons,4,Germany,433.5354839,67198,155,Essen,2005
1070,Henderson Ltd,4,China,99.87760417,38353,384,Wuhan,2004
1071,Harris-arson,4,UK,67.74233129,33126,489,Bristol,2005
1072,Flowers LL,4,India,266.5107527,49571,186,Delhi,2007
1073,Bartlett-Sloan,4,Japan,127.3848039,51973,408,Sapporo,2013
1074,Miller PL,4,India,150.1151316,45635,304,Kolkata,2008
1075,Arnold-Gates,4,UK,217.9755102,53404,245,Edinburgh,2003
1076,"Ellis, Marks and Buhanan",4,USA,99.17213115,48396,488,San Jose,2018
1077,"Matthews, Harrington and Rodriguez",4,China,103.8122605,27095,261,Wuhan,2006
1078,Hernandez PL,4,China,583.433121,91599,157,Tianjin,2016
1079,"hang, Ayers and Bukley",4,Frane,754.8666667,56615,75,Paris,2004
1080,"han, Floyd and Dillon",4,Japan,256.9493243,76057,296,Fukuoka,2013
1081,Humphrey-Baker,4,anada,145.3452915,64824,446,Vanouver,2010
1082,"Washington, Lynh and Johnson",4,Germany,202.6457143,35463,175,Munih,2015
1083,Powell-Montgomery,4,Germany,2577.352941,87630,34,Stuttgart,2020
1084,"Steele, Williams and Preston",4,USA,1069.160714,119746,112,San Diego,2008
1085,Vaughn-Williams,4,Germany,445.172549,113519,255,Leipzig,2005
1086,Mall-Prine,4,China,623.4361233,141520,227,Guangzhou,2019
1087,Morgan LL,4,Frane,102.4088176,51102,499,Strasbourg,2013
1088,Ramirez-Vasquez,4,anada,1012.416667,24298,24,Winnipeg,2000
1089,"ohen, ompton and Perez",4,Japan,205.9262473,94932,461,Fukuoka,2000
1090,Mann-Ramos,4,India,2740.428571,38366,14,Surat,2006
1091,Adams-Butler,4,USA,194.4861111,70015,360,Houston,2007
1092,"Davis, Alexander and Mintyre",4,India,1863.754386,106234,57,hennai,2004
1093,Figueroa-Malone,4,Frane,692.9689441,111568,161,Bordeaux,2018
1094,Niholson-Robertson,4,Germany,371.2866242,58292,157,Munih,2001
1095,Jones Ltd,4,UK,441.9409594,119766,271,Edinburgh,2023
1096,"Powell, Deleon and Warren",4,India,766.4109589,55948,73,Ahmedabad,2021
1097,"Johnson, Lee and Whitaker",4,India,174.2930591,67800,389,Pune,2011
1098,Wright Group,4,Japan,4351.214286,60917,14,Yokohama,2012
1099,Hull Ltd,4,Japan,1030.444444,74192,72,Nagoya,2023
1100,Hill Group,4,Japan,293.2509506,77125,263,Tokyo,2018
1101,"Sanders, Leblan and Maldonado",4,Germany,86.49051491,31915,369,Munih,2011
1102,Watson PL,4,USA,462.9185185,62494,135,San Antonio,2020
1103,Thompson-Harrell,4,USA,151.9650146,52124,343,San Jose,2001
1104,"Arnold, ooper and Monroe",4,China,128.3407821,45946,358,Beijing,2001
1105,urry-Barker,4,China,604.2462312,120245,199,Tianjin,2014
1106,Johnson-Williams,4,China,213.9068826,52835,247,Nanjing,2008
1107,"han, Lewis and Walker",4,Germany,334.2696629,119000,356,Frankfurt,2022
1108,Byrd LL,4,USA,106.6676385,36587,343,Phoenix,2013
1109,"Ortiz, Smith and Deleon",4,China,191.2229102,61765,323,Nanjing,2008
1110,"Smith, Buk and Holland",4,Germany,563.0864662,149781,266,D眉sseldorf,2003
1111,"Owen, Walker and Franklin",4,China,101.2044335,41089,406,hengdu,2003
1112,Marquez-Flether,4,China,171.5759494,54218,316,Wuhan,2006
1113,oleman-Bennett,4,Japan,505.7314815,54619,108,Sapporo,2016
1114,Stevens-Robinson,4,India,368.6321839,32071,87,Ahmedabad,2009
1115,Byrd-Holloway,4,USA,76.42887473,35998,471,Dallas,2015
1116,Silva-Smith,4,Japan,260.232,32529,125,Kyoto,2010
1117,"Levy, Frano and Hoffman",4,USA,2243.28,112164,50,New York,2021
1118,"Lynh, Evans and Rodriguez",4,China,287.4785992,73882,257,Hangzhou,2021
1119,Rogers LL,4,Germany,638.0697674,27437,43,Munih,2016
1120,"Nguyen, Hill and Douglas",4,China,395.9837398,48706,123,hengdu,2020
1121,"Evans, Hernandez and annon",4,anada,170.4917355,41259,242,Ottawa,2008
1122,Trujillo PL,4,USA,156.8539823,70898,452,Los Angeles,2005
1123,Guerrero-Beker,4,USA,141.686747,58800,415,Phoenix,2011
1124,"Johnson, Jimenez and Phillips",4,India,1493.328125,95573,64,Ahmedabad,2023
1125,Sullivan-Doyle,4,China,54.19954649,23902,441,Beijing,2000
1126,"Erikson, Armstrong and Lee",4,Germany,283.2074468,53243,188,Hamburg,2010
